序号,类别,标题,起始页,结束页,页数,相对路径
63,Research,6.8 Research on Deadlocks,498,499,2,06_Deadlocks/06.08_Research_on_Deadlocks.pdf
64,Summary,6.9 Summary,499,505,7,06_Deadlocks/06.09_Summary.pdf
65,ChapterTitle,7 Virtualization and the Cloud,506,508,3,07_Virtualization_and_the_Cloud/07_Virtualization_and_the_Cloud_Title.pdf
66,Section,7.1 History,509,511,3,07_Virtualization_and_the_Cloud/07.01_History.pdf
67,Section,7.2 Requirements for Virtualization,511,513,3,07_Virtualization_and_the_Cloud/07.02_Requirements_for_Virtualization.pdf
68,Section,7.3 Type 1 and Type 2 Hypervisors,513,515,3,07_Virtualization_and_the_Cloud/07.03_Type_1_and_Type_2_Hypervisors.pdf
69,Section,7.4 Techniques for Efficient Virtualization,515,519,5,07_Virtualization_and_the_Cloud/07.04_Techniques_for_Efficient_Virtualization.pdf
70,Section,7.5 Are Hypervisors Microkernels Done Right?,519,522,4,07_Virtualization_and_the_Cloud/07.05_Are_Hypervisors_Microkernels_Done_Right.pdf
71,Section,7.6 Memory Virtualization,522,526,5,07_Virtualization_and_the_Cloud/07.06_Memory_Virtualization.pdf
72,Section,7.7 I/O Virtualization,526,530,5,07_Virtualization_and_the_Cloud/07.07_I_O_Virtualization.pdf
73,Section,7.8 Virtual Machines on Multicore Cpus,530,530,1,07_Virtualization_and_the_Cloud/07.08_Virtual_Machines_on_Multicore_Cpus.pdf
74,Section,7.9 Clouds,530,533,4,07_Virtualization_and_the_Cloud/07.09_Clouds.pdf
75,Section,7.10 OS-Level Virtualization,533,536,4,07_Virtualization_and_the_Cloud/07.10_OS-Level_Virtualization.pdf
76,Section,7.11 Case Study: Vmware,536,552,17,07_Virtualization_and_the_Cloud/07.11_Case_Study__Vmware.pdf
77,Research,7.12 Research on Virtualization and the Cloud,552,553,2,07_Virtualization_and_the_Cloud/07.12_Research_on_Virtualization_and_the_Cloud.pdf
78,Summary,7.13 Summary,553,555,3,07_Virtualization_and_the_Cloud/07.13_Summary.pdf
79,ChapterTitle,8 Multiple Processor Systems,556,558,3,08_Multiple_Processor_Systems/08_Multiple_Processor_Systems_Title.pdf
80,Section,8.1 Multiprocessors,559,586,28,08_Multiple_Processor_Systems/08.01_Multiprocessors.pdf
81,Section,8.2 Multicomputers,586,608,23,08_Multiple_Processor_Systems/08.02_Multicomputers.pdf
82,Section,8.3 Distributed Systems,608,627,20,08_Multiple_Processor_Systems/08.03_Distributed_Systems.pdf
83,Research,8.4 Research on Multiple Processor Systems,627,629,3,08_Multiple_Processor_Systems/08.04_Research_on_Multiple_Processor_Systems.pdf
84,Summary,8.5 Summary,629,633,5,08_Multiple_Processor_Systems/08.05_Summary.pdf
85,ChapterTitle,9 Security,634,635,2,09_Security/09_Security_Title.pdf
86,Section,9.1 Fundamentals of Operating System Security,636,647,12,09_Security/09.01_Fundamentals_of_Operating_System_Security.pdf
87,Section,9.2 Controlling Access to Resources,647,657,11,09_Security/09.02_Controlling_Access_to_Resources.pdf
88,Section,9.3 Formal Models of Secure Systems,657,666,10,09_Security/09.03_Formal_Models_of_Secure_Systems.pdf
89,Section,9.4 Authentication,666,676,11,09_Security/09.04_Authentication.pdf
90,Section,9.5 Exploiting Software,676,697,22,09_Security/09.05_Exploiting_Software.pdf
91,Section,9.6 Exploiting Hardware,697,708,12,09_Security/09.06_Exploiting_Hardware.pdf
92,Section,9.7 Insider Atta Cks,708,710,3,09_Security/09.07_Insider_Atta_Cks.pdf
93,Section,9.8 Operating System Hardening,710,723,14,09_Security/09.08_Operating_System_Hardening.pdf
94,Research,9.9 Research on Security,723,725,3,09_Security/09.09_Research_on_Security.pdf
95,Summary,9.10 Summary,725,731,7,09_Security/09.10_Summary.pdf
96,ChapterTitle,"10 Case Study 1: Unix, Linux, and Android",732,732,1,10_Case_Study_1__Unix__Linux__and_Android/10_Case_Study_1__Unix__Linux__and_Android_Title.pdf
97,Section,10.1 History of Unix and Linux,733,742,10,10_Case_Study_1__Unix__Linux__and_Android/10.01_History_of_Unix_and_Linux.pdf
98,Section,10.2 Overview of Linux,742,752,11,10_Case_Study_1__Unix__Linux__and_Android/10.02_Overview_of_Linux.pdf
99,Section,10.3 Processes in Linux,752,772,21,10_Case_Study_1__Unix__Linux__and_Android/10.03_Processes_in_Linux.pdf
100,Section,10.4 Memory Management in Linux,772,786,15,10_Case_Study_1__Unix__Linux__and_Android/10.04_Memory_Management_in_Linux.pdf
101,Section,10.5 Input/Output in Linux,786,795,10,10_Case_Study_1__Unix__Linux__and_Android/10.05_Input_Output_in_Linux.pdf
102,Section,10.6 The Linux File System,795,818,24,10_Case_Study_1__Unix__Linux__and_Android/10.06_The_Linux_File_System.pdf
103,Section,10.7 Security in Linux,818,822,5,10_Case_Study_1__Unix__Linux__and_Android/10.07_Security_in_Linux.pdf
104,Section,10.8 Android,822,892,71,10_Case_Study_1__Unix__Linux__and_Android/10.08_Android.pdf
105,Summary,10.9 Summary,892,899,8,10_Case_Study_1__Unix__Linux__and_Android/10.09_Summary.pdf
106,Section,11.1 History of Windows Through Windows 11,900,909,10,11_Case_Study_2__Windows_11/11.01_History_of_Windows_Through_Windows_11.pdf
107,Section,11.2 Programming Windows,909,923,15,11_Case_Study_2__Windows_11/11.02_Programming_Windows.pdf
108,Section,11.3 System Structure,923,958,36,11_Case_Study_2__Windows_11/11.03_System_Structure.pdf
109,Section,11.4 Processes and Threads in Windows,958,984,27,11_Case_Study_2__Windows_11/11.04_Processes_and_Threads_in_Windows.pdf
110,Section,11.5 Memory Management,984,1006,23,11_Case_Study_2__Windows_11/11.05_Memory_Management.pdf
111,Section,11.6 Caching in Windows,1006,1008,3,11_Case_Study_2__Windows_11/11.06_Caching_in_Windows.pdf
112,Section,11.7 Input/Output in Windows,1008,1018,11,11_Case_Study_2__Windows_11/11.07_Input_Output_in_Windows.pdf
113,Section,11.8 the Windows NT File System,1018,1029,12,11_Case_Study_2__Windows_11/11.08_the_Windows_NT_File_System.pdf
114,Section,11.9 Windows Power Management,1029,1032,4,11_Case_Study_2__Windows_11/11.09_Windows_Power_Management.pdf
115,Section,11.10 Virtualization in Windows,1032,1047,16,11_Case_Study_2__Windows_11/11.10_Virtualization_in_Windows.pdf
116,Section,11.11 Security in Windows,1047,1064,18,11_Case_Study_2__Windows_11/11.11_Security_in_Windows.pdf
117,Summary,11.12 Summary,1064,1069,6,11_Case_Study_2__Windows_11/11.12_Summary.pdf
118,ChapterTitle,12 Operating System Design,1070,1070,1,12_Operating_System_Design/12_Operating_System_Design_Title.pdf
119,Section,12.1 The Nature of the Design Problem,1071,1074,4,12_Operating_System_Design/12.01_The_Nature_of_the_Design_Problem.pdf
120,Section,12.2 Interface Design,1074,1082,9,12_Operating_System_Design/12.02_Interface_Design.pdf
121,Section,12.3 Implementation,1082,1099,18,12_Operating_System_Design/12.03_Implementation.pdf
122,Section,12.4 Performance,1099,1107,9,12_Operating_System_Design/12.04_Performance.pdf
123,Section,12.5 Project Management,1107,1115,9,12_Operating_System_Design/12.05_Project_Management.pdf
124,Section,13.1 Suggestions for Further Reading,1116,1126,11,13_Reading_List_and_Bibliography/13.01_Suggestions_for_Further_Reading.pdf
125,Section,13.2 Alphabetical Bibliography,1126,1149,24,13_Reading_List_and_Bibliography/13.02_Alphabetical_Bibliography.pdf
